T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,1,2622,0,2622,2622,2622,2622,1734904800000,1,,0,,0,0,0,0,0,false
,2,2623.37,0,2623.58,2623.16,2623.58,2623.16,1734908460000,2,,0,,0,0,0,0,0,false
,2,2623.415,0,2623.56,2623.27,2623.56,2623.27,1734908520000,2,,0,,0,0,0,0,0,false
,2,2622.135,0,2621.93,2622.34,2622.34,2621.93,1734908580000,2,,0,,0,0,0,0,0,false
,2,2621.795,0,2621.7,2621.89,2621.89,2621.7,1734908640000,2,,0,,0,0,0,0,0,false
,2,2622.85,0,2622.84,2622.86,2622.86,2622.84,1734908700000,2,,0,,0,0,0,0,0,false
,2,2622.725,0,2622.78,2622.67,2622.78,2622.67,1734908760000,2,,0,,0,0,0,0,0,false
,3,2622.0167,0,2622.34,2622.11,2622.34,2621.6,1734908820000,3,,0,,0,0,0,0,0,false
,2,2622.135,0,2622.03,2622.24,2622.24,2622.03,1734908880000,2,,0,,0,0,0,0,0,false
,2,2621.83,0,2621.7,2621.96,2621.96,2621.7,1734908940000,2,,0,,0,0,0,0,0,false
,2,2622.05,0,2622.14,2621.96,2622.14,2621.96,1734909000000,2,,0,,0,0,0,0,0,false
,2,2621.96,0,2621.96,2621.96,2621.96,2621.96,1734909060000,2,,0,,0,0,0,0,0,false
,2,2621.77,0,2621.93,2621.61,2621.93,2621.61,1734909120000,2,,0,,0,0,0,0,0,false
,2,2621.64,0,2621.46,2621.82,2621.82,2621.46,1734909180000,2,,0,,0,0,0,0,0,false
,3,2621.4967,0,2621.83,2621.76,2621.83,2620.9,1734909240000,3,,0,,0,0,0,0,0,false
,2,2621.945,0,2621.76,2622.13,2622.13,2621.76,1734909300000,2,,0,,0,0,0,0,0,false
,2,2622.435,0,2622.4,2622.47,2622.47,2622.4,1734909360000,2,,0,,0,0,0,0,0,false
,2,2622.705,0,2622.68,2622.73,2622.73,2622.68,1734909420000,2,,0,,0,0,0,0,0,false
,3,2622.6333,0,2621.9,2623.27,2623.27,2621.9,1734909480000,3,,0,,0,0,0,0,0,false
,2,2623.16,0,2623.33,2622.99,2623.33,2622.99,1734909540000,2,,0,,0,0,0,0,0,false
,3,2622.7833,0,2622.2,2623.16,2623.16,2622.2,1734909600000,3,,0,,0,0,0,0,0,false
,2,2622.37,0,2622.51,2622.23,2622.51,2622.23,1734909660000,2,,0,,0,0,0,0,0,false
,2,2622.625,0,2622.74,2622.51,2622.74,2622.51,1734909720000,2,,0,,0,0,0,0,0,false
,2,2622.705,0,2622.66,2622.75,2622.75,2622.66,1734909780000,2,,0,,0,0,0,0,0,false
,2,2622.895,0,2622.82,2622.97,2622.97,2622.82,1734909840000,2,,0,,0,0,0,0,0,false
,3,2622.7733,0,2622.3,2623.01,2623.01,2622.3,1734909900000,3,,0,,0,0,0,0,0,false
,3,2621.7933,0,2622.06,2622.02,2622.06,2621.3,1734909960000,3,,0,,0,0,0,0,0,false
,2,2621.81,0,2621.87,2621.75,2621.87,2621.75,1734910020000,2,,0,,0,0,0,0,0,false
,2,2621.925,0,2621.88,2621.97,2621.97,2621.88,1734910080000,2,,0,,0,0,0,0,0,false
,2,2622.27,0,2622.21,2622.33,2622.33,2622.21,1734910140000,2,,0,,0,0,0,0,0,false
,3,2621.4967,0,2621.75,2620.9,2621.84,2620.9,1734910200000,3,,0,,0,0,0,0,0,false
,3,2621.5867,0,2621.9,2621.86,2621.9,2621,1734910260000,3,,0,,0,0,0,0,0,false
,2,2622.075,0,2621.77,2622.38,2622.38,2621.77,1734910320000,2,,0,,0,0,0,0,0,false
,2,2622.825,0,2622.39,2623.26,2623.26,2622.39,1734910380000,2,,0,,0,0,0,0,0,false
,2,2623.06,0,2623.06,2623.06,2623.06,2623.06,1734910440000,2,,0,,0,0,0,0,0,false
,3,2622.9067,0,2623.06,2623.26,2623.26,2622.4,1734910500000,3,,0,,0,0,0,0,0,false
,2,2622.53,0,2622.6,2622.46,2622.6,2622.46,1734910560000,2,,0,,0,0,0,0,0,false
,2,2622.91,0,2622.76,2623.06,2623.06,2622.76,1734910620000,2,,0,,0,0,0,0,0,false
,2,2623.12,0,2622.98,2623.26,2623.26,2622.98,1734910680000,2,,0,,0,0,0,0,0,false
,2,2623.005,0,2623.18,2622.83,2623.18,2622.83,1734910740000,2,,0,,0,0,0,0,0,false
,2,2623.24,0,2623.06,2623.42,2623.42,2623.06,1734910800000,2,,0,,0,0,0,0,0,false
,2,2623.64,0,2623.54,2623.74,2623.74,2623.54,1734910860000,2,,0,,0,0,0,0,0,false
,1,2623.79,0,2623.79,2623.79,2623.79,2623.79,1734910920000,1,,0,,0,0,0,0,0,false
,3,2623.4933,0,2623.83,2622.9,2623.83,2622.9,1734910980000,3,,0,,0,0,0,0,0,false
,2,2623.365,0,2623.56,2623.17,2623.56,2623.17,1734911040000,2,,0,,0,0,0,0,0,false
,3,2622.96,0,2623.12,2623.46,2623.46,2622.3,1734911100000,3,,0,,0,0,0,0,0,false
,2,2623.655,0,2623.56,2623.75,2623.75,2623.56,1734911160000,2,,0,,0,0,0,0,0,false
,2,2623.455,0,2623.55,2623.36,2623.55,2623.36,1734911220000,2,,0,,0,0,0,0,0,false
,3,2623.63,0,2623.6,2624.29,2624.29,2623,1734911280000,3,,0,,0,0,0,0,0,false
,3,2623.59,0,2623.98,2623.59,2623.98,2623.2,1734911340000,3,,0,,0,0,0,0,0,false
,3,2623.4333,0,2623.79,2623.61,2623.79,2622.9,1734911400000,3,,0,,0,0,0,0,0,false
,2,2622.79,0,2622.82,2622.76,2622.82,2622.76,1734911460000,2,,0,,0,0,0,0,0,false
,3,2622.84,0,2623.16,2623.16,2623.16,2622.2,1734911520000,3,,0,,0,0,0,0,0,false
,4,2623.215,0,2622.7,2623.41,2623.55,2622.7,1734911580000,4,,0,,0,0,0,0,0,false
,2,2623.82,0,2623.51,2624.13,2624.13,2623.51,1734911640000,2,,0,,0,0,0,0,0,false
,3,2623.9433,0,2624.21,2624.22,2624.22,2623.4,1734911700000,3,,0,,0,0,0,0,0,false
,2,2623.81,0,2623.91,2623.71,2623.91,2623.71,1734911760000,2,,0,,0,0,0,0,0,false
,3,2623.3733,0,2623.66,2623.56,2623.66,2622.9,1734911820000,3,,0,,0,0,0,0,0,false
,2,2623.33,0,2623.38,2623.28,2623.38,2623.28,1734911880000,2,,0,,0,0,0,0,0,false
,2,2623.745,0,2623.65,2623.84,2623.84,2623.65,1734911940000,2,,0,,0,0,0,0,0,false
,3,2623.97,0,2623.28,2624.32,2624.32,2623.28,1734912000000,3,,0,,0,0,0,0,0,false
,3,2624.35,0,2624.33,2624.58,2624.58,2624.14,1734912060000,3,,0,,0,0,0,0,0,false
,2,2624.905,0,2624.85,2624.96,2624.96,2624.85,1734912120000,2,,0,,0,0,0,0,0,false
,3,2624.6,0,2624.37,2624.58,2624.85,2624.37,1734912180000,3,,0,,0,0,0,0,0,false
,3,2624.0867,0,2623.3,2624.49,2624.49,2623.3,1734912240000,3,,0,,0,0,0,0,0,false
,3,2624.5967,0,2624.58,2624.58,2624.63,2624.58,1734912300000,3,,0,,0,0,0,0,0,false
,3,2624.8167,0,2624.93,2624.89,2624.93,2624.63,1734912360000,3,,0,,0,0,0,0,0,false
,2,2624.85,0,2624.99,2624.71,2624.99,2624.71,1734912420000,2,,0,,0,0,0,0,0,false
,3,2624.8033,0,2624.71,2624.71,2624.99,2624.71,1734912480000,3,,0,,0,0,0,0,0,false
,2,2624.88,0,2625,2624.76,2625,2624.76,1734912540000,2,,0,,0,0,0,0,0,false
,3,2624.81,0,2624.71,2625.01,2625.01,2624.71,1734912600000,3,,0,,0,0,0,0,0,false
,3,2624.9267,0,2625.06,2625.01,2625.06,2624.71,1734912660000,3,,0,,0,0,0,0,0,false
,2,2624.85,0,2624.93,2624.77,2624.93,2624.77,1734912720000,2,,0,,0,0,0,0,0,false
,4,2624.145,0,2624.28,2624.07,2624.93,2623.3,1734912780000,4,,0,,0,0,0,0,0,false
,3,2623.6467,0,2623.88,2623.96,2623.96,2623.1,1734912840000,3,,0,,0,0,0,0,0,false
,3,2624.0433,0,2624.12,2623.94,2624.12,2623.94,1734912900000,3,,0,,0,0,0,0,0,false
,4,2623.6375,0,2623.77,2623.81,2624.07,2622.9,1734912960000,4,,0,,0,0,0,0,0,false
,2,2623.395,0,2623.55,2623.24,2623.55,2623.24,1734913020000,2,,0,,0,0,0,0,0,false
,3,2623.38,0,2623.23,2623.36,2623.55,2623.23,1734913080000,3,,0,,0,0,0,0,0,false
,3,2623.0833,0,2623.38,2623.47,2623.47,2622.4,1734913140000,3,,0,,0,0,0,0,0,false
,3,2623.5767,0,2623.36,2623.63,2623.74,2623.36,1734913200000,3,,0,,0,0,0,0,0,false
,4,2622.805,0,2622.89,2622.59,2623.74,2622,1734913260000,4,,0,,0,0,0,0,0,false
,2,2622.505,0,2622.51,2622.5,2622.51,2622.5,1734913320000,2,,0,,0,0,0,0,0,false
