time,open,high,low,close,ATVV,Plot
1734602400,2620.39,2622.3,2617.148,2621.399,29566.7,27777.295000000002
1734604200,2621.5,2626.41,2617.634,2619.54,30540.85,27711.590000000004
1734606000,2619.429,2621.95,2618.514,2618.88,29206.7,27732.725
1734607800,2618.849,2619.44,2615.955,2616.719,28344.85,27881.45
1734609600,2616.554,2616.87,2611.848,2613.45,28816.1,28268.239999999998
1734611400,2613.389,2614.13,2604.145,2606.25,29518.7,28681.229999999992
1734613200,2606.25,2606.29,2600.434,2602.87,31229.75,29237.27999999999
1734615000,2602.619,2604.41,2595.135,2596.34,33478.95,29858.81999999999
1734616800,2596.34,2600.03,2594.675,2596.295,35409.05,30541.98999999999
1734618600,2596.295,2600.86,2591.85,2592.518,38365.85,31447.74999999999
1734620400,2592.56,2595.97,2589.995,2590.259,40958.95,32586.974999999988
1734622200,2590.31,2592.2,2586.815,2588.315,43088.1,33841.69999999999
1734624000,2588.4,2593.4,2587.055,2592.15,44514.15,35372.44499999999
1734625800,2592.089,2596.67,2590.955,2591.76,45339.1,37071.86999999999
1734627600,2591.85,2594.29,2590.66,2593.17,45628.7,38753.12999999999
1734629400,2593.17,2593.91,2590.675,2592.61,45622.15,40363.47499999999
1734631200,2592.62,2595.48,2591.765,2593.069,46337.95,41874.29499999999
1734633000,2593.08,2599.97,2592.415,2599.73,46501.4,43176.53999999999
1734634800,2599.73,2600.96,2596.905,2597.669,46152.65,44250.899999999994
1734636600,2597.75,2601.09,2596.584,2596.81,45791,44993.41499999999
1734638400,2596.75,2599.57,2596.615,2598.3,45559.25,45453.44499999999
1734640200,2598.239,2600.36,2596.335,2596.8,45456.5,45690.28499999999
1734642000,2596.8,2597.06,2592.9,2595.14,44584.9,45697.36
1734643800,2595.069,2596.78,2593.515,2593.585,43530.55,45516.505
1734645600,2593.64,2593.64,2593.64,2593.64,41550.2,45108.655
1734649200,2593.53,2595.8,2593.17,2594.49,39348.95,44481.335
1734651000,2594.49,2595.11,2592.168,2593.55,36671.45,43514.685
1734652800,2593.448,2594.52,2592.115,2593.7,34157.6,42280.305
1734654600,2593.7,2595.4,2590.375,2590.78,32094.75,40874.515
1734656400,2590.74,2599.49,2589.475,2598.51,30964.6,39391.875
1734658200,2598.49,2603.91,2597.485,2603.87,29762.05,37812.155
1734660000,2603.74,2604.01,2595.419,2597.09,28442.05,36110.71
1734661800,2597.02,2598.54,2595.805,2597.07,27029.4,34355.159999999996
1734663600,2597.07,2598.28,2595.575,2598.17,25933,32595.405
1734665400,2598.17,2599.16,2596.435,2598.36,24796.25,30920.01
1734667200,2598.44,2601.03,2598.165,2599.179,23800.05,29365.120000000003
1734669000,2599.33,2599.42,2597.294,2597.804,22277.15,27925.690000000002
1734670800,2598.06,2598.86,2596.335,2596.77,21407.95,26650.725
1734672600,2596.8,2601.31,2596.475,2600.319,20751.95,25516.445000000003
1734674400,2600.319,2604.42,2598.78,2603.95,20608.45,24480.83
1734676200,2603.848,2605.37,2601.848,2604.615,20340.15,23538.640000000003
1734678000,2604.75,2607.56,2603.435,2606.035,19499.15,22644.350000000006
1734679800,2606.28,2606.32,2602.154,2606.135,20174.45,21958.855000000003
1734681600,2606.229,2607.73,2604.235,2605.699,21276.15,21493.170000000006
1734683400,2605.699,2607.57,2604.195,2605.53,22591,21272.645
1734685200,2605.402,2606.46,2603.445,2604.36,23611.45,21253.785000000003
1734687000,2604.31,2606.67,2602.975,2604.95,24529.1,21478.980000000003
1734688800,2605,2606.99,2603.754,2606.08,25091.85,21847.370000000003
1734690600,2606.08,2606.53,2603.798,2603.965,25416.1,22313.785000000003
1734692400,2604.21,2604.67,2600,2601.499,24191.7,22672.110000000004
1734694200,2601.52,2604.82,2600.788,2603.545,23318.75,22969.970000000005
1734696000,2603.569,2606.05,2602.055,2605.619,22500.9,23270.145000000004
1734697800,2605.71,2606.2,2602.158,2603.63,22418.75,23494.575000000004
1734699600,2603.365,2605.23,2600.565,2600.934,23030.25,23669.985000000008
1734701400,2600.934,2614.12,2600.015,2609.65,25022.4,23913.125000000007
1734703200,2609.518,2616.41,2608.425,2615.23,26479,24199.880000000005
1734705000,2615.05,2618.32,2612.565,2617.32,28498.8,24596.850000000002
1734706800,2617.269,2626.15,2616.145,2624.285,30517.5,25139.415000000005
1734708600,2624.37,2631.2,2624.29,2630.164,32109.3,25808.735000000004
1734710400,2630.309,2631.869,2622.885,2623.37,33093.1,26698.875000000007
1734712200,2623.319,2626.81,2622.098,2625.09,33836.3,27750.630000000005
1734714000,2624.968,2627.6,2624.245,2625.51,34363.6,28936.900000000005
1734715800,2625.52,2627.1,2621.93,2625.62,34793.95,30174.420000000006
1734717600,2625.548,2626.62,2623.604,2624.939,34951.9,31366.58500000001
1734719400,2624.88,2627.43,2623.248,2626.09,35154.55,32379.800000000007
1734721200,2626.099,2628.44,2624.645,2626.948,34924.65,33224.365000000005
1734723000,2626.948,2629.38,2626.448,2627.97,34702.3,33844.71500000001
1734724800,2627.819,2628.16,2625.515,2626.76,34679.6,34260.92500000001
1734726600,2626.7,2626.86,2622.085,2622.575,35254.5,34575.44500000001
1734728400,2622.759,2624.12,2620.12,2620.605,34573.1,34723.445000000014
1734730200,2620.78,2623.4,2618.88,2622.435,33908.7,34730.68500000001
1734908400,2619.74,2624.52,2613.15,2622.76,33100.05,34604.33000000001
1734910200,2622.579,2624.77,2621.7,2624.098,32231.8,34348.11500000001
1734912000,2624.17,2625.128,2621.71,2622.54,30994.25,33952.35000000001
1734913800,2622.58,2623.04,2617.285,2621.405,29052.7,33342.165000000015
1734915600,2621.65,2624.25,2618.348,2619.68,28138.6,32663.560000000016
1734917400,2619.61,2623.63,2618.925,2620.77,26677.65,31861.095000000012
1734919200,2620.79,2626.398,2620.43,2624.105,24683.7,30861.505000000016
1734921000,2624.171,2627.41,2623.535,2625.74,23062.05,29642.26000000001
1734922800,2625.789,2627.04,2623.36,2624.23,21823.6,28367.31000000001
1734924600,2624.25,2625.53,2622.175,2623.87,20760.6,27052.50000000001
1734926400,2624.09,2626.24,2623.645,2625.029,19659.85,25708.48000000001
1734928200,2624.935,2626.37,2624.235,2625.379,18498.4,24335.14000000001
1734930000,2625.379,2627.62,2624.798,2627.349,17363.8,22972.09500000001
1734931800,2627.44,2629.17,2626.475,2626.475,16828.8,21749.70500000001
1734933600,2626.64,2629.24,2624.325,2628.235,16732.95,20609.140000000007
1734935400,2628.449,2633,2628.115,2631.6,16725,19613.875000000007
1734937200,2631.6,2633.29,2630.08,2630.69,16706.4,18816.14500000001
1734939000,2630.529,2632.33,2629.335,2630.25,16075.55,18117.495000000014
1734940800,2630.25,2630.56,2625.905,2629.82,17043.35,17639.470000000012
1734942600,2629.87,2632.11,2628.798,2629.879,17844.85,17347.89500000001
1734944400,2629.96,2630.79,2627.505,2629.62,18662.75,17248.185000000012
1734946200,2629.62,2629.99,2625.915,2626.44,19353.85,17333.73000000001
1734948000,2626.33,2626.97,2622.705,2623.054,20188.95,17616.245000000014
1734949800,2623.23,2623.94,2618.775,2619.44,21212.9,18054.65500000001
1734951600,2619.41,2620.13,2616.065,2616.42,21208.6,18502.22000000001
1734953400,2616.41,2617,2612.908,2616.26,21411.7,18970.890000000007
1734955200,2616.28,2618.68,2615.678,2616.87,21995.75,19499.825000000008
1734957000,2616.87,2617.03,2613.948,2614.94,22476.25,20139.895000000008
1734958800,2614.884,2618.01,2613.865,2615.439,23547.9,20790.35000000001
1734960600,2615.46,2619.89,2614.695,2617.225,24625.5,21468.41500000001
1734962400,2617.49,2619.85,2616.805,2617.805,25909.6,22193.100000000013
1734964200,2617.785,2618.74,2613.605,2615.402,27944.15,23052.130000000012
1734966000,2615.49,2616.7,2609.769,2610.735,30274.5,24060.68500000001
1734967800,2610.99,2614.08,2609.195,2609.585,31616.2,25101.01500000001
1734969600,2609.679,2612.87,2608.055,2612.26,32845.5,26264.70500000001
1734971400,2612.099,2616.15,2611.308,2615.95,33243.6,27447.895000000008
1734973200,2615.849,2616.55,2612.575,2614.148,33715.55,28619.87500000001
1734975000,2614.169,2614.38,2610.545,2611.22,34413.5,29813.600000000013
1734976800,2611.149,2612.81,2610.204,2611.4,34496.3,30908.44000000001
1734978600,2611.39,2612.46,2609.845,2610.315,34383.1,31884.20000000001
1734980400,2610.47,2612.63,2610.134,2610.45,34140.65,32707.30500000001
1734982200,2610.45,2611.61,2609.398,2610.848,34013.45,33314.23500000001
1734984000,2611.15,2612.67,2610.548,2611.25,33525.85,33639.37000000001
1734985800,2611.25,2611.84,2608.955,2610.9,32676.8,33745.43000000001
1734987600,2611.15,2612.73,2610,2612.489,31508.5,33611.73000000001
1734989400,2612.53,2613.76,2611.455,2611.635,30260.75,33313.44500000001
1734994800,2612.963,2615.86,2612.35,2615.52,29010.4,32842.93000000001
1734996600,2615.59,2617.05,2614.125,2615.39,28022.85,32203.865000000013
1734998400,2615.56,2616.27,2614.048,2614.248,26457.05,31399.94000000001
1735000200,2614.25,2617.39,2613.365,2616.65,25186.55,30480.28500000001
1735002000,2616.65,2617.95,2614.364,2615.125,24770.65,29543.28500000001
1735003800,2615.239,2618,2615.015,2617.59,23423.55,28484.295000000006
1735005600,2617.53,2618.96,2617.135,2618.165,21516.9,27283.400000000005
1735007400,2618.31,2619.95,2616.609,2616.739,20140,26029.72000000001
1735009200,2616.82,2617.95,2615.64,2616.85,18758.15,24754.68500000001
1735011000,2616.84,2618.75,2616.135,2618.69,17828.65,23511.475000000006
1735012800,2618.76,2619.69,2618.218,2618.509,16784.8,22288.915000000005
1735014600,2618.509,2620.46,2618.169,2620.13,15461.25,21032.755000000005
1735016400,2620.04,2621.41,2618.679,2618.91,14326.65,19819.715000000004
1735018200,2618.89,2620.75,2618.239,2619.18,14084.5,18709.510000000006
1735020000,2619.18,2619.48,2616.309,2617.56,13968.45,17629.290000000005
1735021800,2617.6,2619.86,2616.911,2619.01,13613.5,16648.285000000007
1735023600,2618.99,2621.42,2618.629,2620.569,13389.25,15835.520000000008
1735025400,2620.68,2621.08,2617.81,2618.28,13123.55,15133.87500000001
1735027200,2618.28,2619.78,2617.09,2618.255,13582.85,14616.345000000007
1735029000,2618.4,2619.33,2616.65,2617.21,14256.85,14259.165000000008
1735030800,2617.24,2618.46,2613.658,2615.26,15043.15,14085.00000000001
1735032600,2614.955,2616.06,2613.148,2613.395,15389.15,14077.790000000008
1735034400,2613.54,2617.97,2612.995,2616.97,15843.85,14229.51000000001
1735036200,2616.98,2617.26,2614.168,2615.57,16256.9,14446.75000000001
1735038000,2615.52,2616.21,2612.698,2613.099,15678.45,14617.750000000011
1735039800,2613.21,2616.11,2612.155,2615.12,15381.75,14794.575000000012
1735041600,2615.12,2616.44,2613.535,2614.148,15373,14992.950000000008
1735043400,2614.37,2615.68,2612.355,2613.79,15344.05,15215.00000000001
1735045200,2613.77,2614.84,2612.425,2613.14,16154.3,15472.14500000001
1735047000,2613.11,2614.66,2611.145,2614.26,17097.15,15756.175000000012
1735048800,2614.14,2617.28,2613.44,2616.43,18074.05,16059.26500000001
1735050600,2616.56,2617.01,2609.9,2610.705,19488.35,16469.18500000001
1735052400,2610.85,2613.56,2609.935,2612.095,20764.5,16961.25000000001
1735054200,2612.29,2613.09,2610.155,2611.72,21636.65,17499.225000000013
1735056000,2611.639,2616.34,2611.425,2615.51,22387.4,18170.12000000001
1735057800,2615.64,2617.86,2615.485,2615.96,22995.55,18931.50000000001
1735059600,2615.875,2619.4,2615.159,2619.27,23698.9,19764.09000000001
1735061400,2619.15,2619.27,2615.585,2616.845,24595.25,20689.210000000014
1735063200,2616.92,2617.87,2614.565,2616.63,24456,21519.380000000012
1735065000,2616.538,2617.3,2615.535,2616.539,23744.6,22184.12500000001
1735167600,2619.21,2620.1,2614.18,2619.475,23104.45,22687.16500000001
1735169400,2619.78,2620.03,2617.54,2618.51,22546.3,22992.960000000014
1735171200,2618.63,2620.46,2618.02,2620.14,21945.1,23111.02000000001
1735173000,2620.139,2622.81,2619.72,2621.49,21760.6,23123.415000000015
1735174800,2621.41,2626.36,2620.645,2625.84,22466.6,23131.335000000014
1735176600,2625.739,2628,2625.635,2626.67,22753.15,23107.095000000012
1735178400,2626.659,2627.203,2625.715,2626.19,22599.65,22997.170000000013
1735180200,2626.149,2627.88,2625.635,2627.445,22470.7,22784.715000000015
1735182000,2627.53,2629.11,2625.885,2626.15,21714.8,22510.595000000012
1735183800,2626.06,2628.6,2625.562,2626.9,20961.8,22232.315000000013
1735185600,2626.719,2628.21,2626.048,2627.3,19946.05,21916.475000000013
1735187400,2627.225,2629.24,2626.69,2627.29,18673.1,21529.155000000013
1735189200,2627.35,2627.7,2625.55,2627.13,17692.75,21103.920000000016
1735191000,2627.11,2628.31,2626.19,2626.36,16629.45,20590.805000000015
1735192800,2626.4,2627.41,2624.47,2626.98,15790.45,19923.190000000017
1735194600,2626.859,2627.09,2624.798,2625.935,15085.55,19156.430000000015
1735196400,2626.11,2629.69,2623.783,2624.429,14586.75,18355.140000000018
1735198200,2624.56,2625.9,2623.399,2625.41,13537.85,17461.855000000018
1735200000,2625.319,2629.07,2625.098,2627.27,13782.3,16668.605000000018
1735201800,2627.28,2627.9,2624.934,2627.5,14260.95,15998.520000000019
1735203600,2627.46,2628.1,2625.889,2626.13,14478.25,15451.740000000016
1735205400,2625.999,2628.21,2625.779,2627.184,14824.6,15066.890000000018
1735207200,2627.31,2628.59,2626.625,2627.4,15223.6,14819.975000000017
1735209000,2627.4,2629.41,2626.948,2628.515,15110.2,14668.050000000017
1735210800,2628.69,2630,2627.864,2629.18,14351.15,14524.120000000019
1735212600,2629.36,2629.83,2627.585,2627.722,13835.25,14399.090000000017
1735214400,2627.73,2628.58,2624.455,2626.18,13963.95,14336.810000000018
1735216200,2626.09,2627.34,2625.675,2626.589,13938.1,14376.835000000015
1735218000,2626.66,2631.16,2626.455,2628.12,14762.3,14474.835000000015
1735219800,2628.269,2628.269,2621.598,2622.939,15797.75,14628.515000000014
1735221600,2623.04,2627.48,2622.334,2626.509,16744,14855.090000000015
1735223400,2626.56,2630.23,2624.384,2629.898,18539.95,15226.625000000015
1735225200,2629.874,2635.95,2628.92,2635.095,20299.85,15734.250000000015
1735227000,2635.115,2639.14,2634.505,2636.5,21928.65,16416.095000000016
1735228800,2636.4,2636.83,2632.644,2633.34,23001.05,17281.085000000014
1735230600,2633.225,2633.67,2631.294,2631.954,23899.05,18287.46500000002
1735232400,2632.01,2632.19,2628.204,2628.45,24553.45,19346.415000000015
1735234200,2628.329,2630.73,2627.818,2629.35,25361.6,20488.765000000014
1735236000,2629.33,2635.6,2629.105,2635.2,26175,21630.035000000014
1735237800,2634.999,2636.02,2633.448,2634.645,26566.8,22706.940000000017
1735239600,2634.78,2634.78,2632.484,2634.109,27113.4,23743.880000000016
1735241400,2634.109,2635.92,2633.455,2634.93,27642.7,24654.155000000017
1735243200,2634.93,2636.27,2634.215,2635.54,27960.6,25420.230000000014
1735245000,2635.52,2635.73,2633.585,2634.28,28682.5,26095.615000000013
1735246800,2634.28,2634.6,2632.925,2634.11,28330.05,26628.515000000014
1735248600,2634.059,2634.49,2632.625,2632.705,27969.25,27035.535000000014
