time,open,high,low,close,ATVV,Plot
1738779480,2870.509,2872.12,2870.165,2871.92,1089.45,1024.9600000000005
1738779540,2871.8,2871.93,2871.075,2871.63,1076.35,1033.1950000000002
1738779600,2871.485,2871.71,2870.535,2870.84,1073.55,1038.7100000000003
1738779660,2870.675,2871.14,2869.795,2869.905,1072.05,1044.5300000000002
1738779720,2870.107,2870.26,2869.145,2869.589,1077.6,1051.1250000000002
1738779780,2869.62,2870.207,2869.195,2869.977,1096.25,1061.1850000000002
1738779840,2870.02,2870.91,2869.785,2870.287,1115.05,1073.9500000000003
1738779900,2870.287,2870.44,2869.555,2869.83,1119.75,1085.0900000000001
1738779960,2869.81,2870.3,2869.375,2870,1124.85,1091.6200000000003
1738780020,2869.987,2870.2,2869.095,2869.35,1130.85,1097.5750000000003
1738780080,2869.4,2869.79,2868.635,2869.657,1165.95,1105.2250000000001
1738780140,2869.597,2870.42,2869.115,2870.231,1212.5,1118.8400000000004
1738780200,2870.227,2870.76,2869.895,2870.607,1205.9,1132.0750000000003
1738780260,2870.607,2871.1,2870.485,2870.99,1200.55,1144.9250000000004
1738780320,2870.877,2870.99,2870.275,2870.675,1190.75,1156.2400000000002
1738780380,2870.807,2870.807,2869.865,2870.047,1177.85,1164.4000000000003
1738780440,2870.09,2870.25,2868.845,2869.197,1190.8,1171.9750000000004
1738780500,2869.27,2869.56,2868.425,2869.287,1189.85,1178.9850000000001
1738780560,2869.215,2870.04,2869.085,2869.74,1136.85,1180.1850000000002
1738780620,2869.767,2870.33,2869.585,2869.95,1114.05,1178.5050000000003
1738780680,2869.907,2870.447,2869.725,2870.35,1084.9,1170.4000000000003
1738780740,2870.33,2870.38,2868.795,2869.3,1075.4,1156.6900000000003
1738780800,2869.3,2869.4,2868.615,2868.92,1075.05,1143.6050000000002
1738780860,2868.877,2869.25,2868.095,2868.7,1075.4,1131.0900000000006
1738780920,2868.657,2869.037,2867.805,2868.14,1068.45,1118.8600000000004
1738780980,2868.097,2868.21,2866.705,2867.11,1058.7,1106.9450000000004
1738781040,2867.09,2867.44,2866.325,2866.77,1049.1,1092.7750000000005
1738781100,2866.737,2866.81,2865.538,2866.25,1063.2,1080.1100000000006
1738781160,2866.206,2866.38,2865.075,2865.905,1064.5,1072.8750000000005
1738781220,2866.027,2866.81,2865.695,2866.44,1073.65,1068.8350000000005
1738781280,2866.45,2866.62,2865.075,2865.205,1050.25,1065.3700000000008
1738781340,2865.47,2865.67,2863.855,2864.12,1018.9,1059.7200000000007
1738781400,2863.885,2865.58,2863.665,2865.03,1056.75,1057.8900000000008
1738781460,2864.835,2865.56,2864.775,2864.995,1075.3,1057.8800000000006
1738781520,2865.24,2865.4,2864.505,2864.857,1109.45,1061.9800000000007
1738781580,2864.85,2865.19,2864.405,2864.94,1129.15,1069.0250000000008
1738781640,2864.725,2865.72,2864.715,2865.67,1140.1,1078.1250000000005
1738781700,2865.67,2865.87,2864.985,2865.4,1133.5,1085.1550000000007
1738781760,2865.45,2866.26,2865.045,2865.76,1139.6,1092.6650000000004
1738781820,2865.81,2866.08,2865.145,2866.04,1166.1,1101.9100000000005
1738781880,2865.755,2866.22,2865.565,2865.867,1195,1116.3850000000007
1738781940,2866.07,2866.45,2865.435,2865.75,1217.3,1136.2250000000006
1738782000,2865.647,2866.37,2865.455,2865.93,1226,1153.1500000000005
1738782060,2865.93,2865.99,2864.615,2865.267,1249.45,1170.5650000000007
1738782120,2865.32,2865.45,2864.585,2865.117,1256.05,1185.2250000000008
1738782180,2865.157,2865.8,2864.495,2864.73,1250.9,1197.4000000000008
1738782240,2864.545,2864.85,2863.275,2863.64,1278.95,1211.2850000000005
1738782300,2863.517,2863.84,2862.565,2863.22,1286.2,1226.5550000000007
