T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,3,2291.67,0,2291.98,2290.95,2292.08,2290.95,1714521600000,3,,0,,0,0,0,0,0,false
,2,2292.545,0,2292.61,2292.48,2292.61,2292.48,1714521660000,2,,0,,0,0,0,0,0,false
,2,2292.415,0,2292.26,2292.57,2292.57,2292.26,1714521720000,2,,0,,0,0,0,0,0,false
,2,2291.965,0,2292.21,2291.72,2292.21,2291.72,1714521780000,2,,0,,0,0,0,0,0,false
,3,2292.1033,0,2292.57,2291.9,2292.57,2291.84,1714521840000,3,,0,,0,0,0,0,0,false
,3,2292.0267,0,2292.06,2291.9,2292.12,2291.9,1714521900000,3,,0,,0,0,0,0,0,false
,2,2292.275,0,2292.21,2292.34,2292.34,2292.21,1714521960000,2,,0,,0,0,0,0,0,false
,3,2292.48,0,2292.67,2292.56,2292.67,2292.21,1714522020000,3,,0,,0,0,0,0,0,false
,2,2292.12,0,2292.17,2292.07,2292.17,2292.07,1714522080000,2,,0,,0,0,0,0,0,false
,3,2292.3933,0,2292.56,2292.29,2292.56,2292.29,1714522140000,3,,0,,0,0,0,0,0,false
,3,2291.9433,0,2291.84,2292.29,2292.29,2291.7,1714522200000,3,,0,,0,0,0,0,0,false
,2,2292.23,0,2291.9,2292.56,2292.56,2291.9,1714522260000,2,,0,,0,0,0,0,0,false
,3,2292.3967,0,2292.79,2292.5,2292.79,2291.9,1714522320000,3,,0,,0,0,0,0,0,false
,1,2292.41,0,2292.41,2292.41,2292.41,2292.41,1714522380000,1,,0,,0,0,0,0,0,false
,3,2292.39,0,2292.3,2292.41,2292.46,2292.3,1714522440000,3,,0,,0,0,0,0,0,false
,4,2292.0325,0,2292.2,2292.41,2292.41,2291.2,1714522500000,4,,0,,0,0,0,0,0,false
,2,2292.215,0,2292.32,2292.11,2292.32,2292.11,1714522560000,2,,0,,0,0,0,0,0,false
,4,2291.7275,0,2292.04,2291.55,2292.32,2291,1714522620000,4,,0,,0,0,0,0,0,false
,2,2291.44,0,2291.53,2291.35,2291.53,2291.35,1714522680000,2,,0,,0,0,0,0,0,false
