time,open,high,low,close,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close)
1739255400,2922.13,2923.36,2915.285,2917.55,0,703,-6157,-5740
1739256300,2917.65,2918.53,2915.165,2917.686,0,2428,-5729,-2661
1739257200,2917.635,2918.34,2912.355,2918.25,0,150,-8403,-879
1739258100,2918.186,2918.26,2910.645,2910.955,0,0,-5360,-5360
1739259000,2910.9,2911.81,2907.089,2910.34,0,2138,-2938,-1403
1739259900,2910.115,2913.558,2908.135,2913.306,0,511,-2560,-1358
1739260800,2913.377,2915.2,2910.425,2911.257,0,2874,-4392,-990
1739261700,2911.3,2914.22,2908.945,2914.06,0,7006,-48,7006
1739262600,2914.066,2914.56,2909.695,2911.54,0,0,-13131,-12015
1739263500,2911.466,2912.65,2906.845,2907.38,0,951,-9263,-9263
1739264400,2907.38,2912.25,2904.535,2910.705,0,2962,-4046,1323
1739265300,2910.827,2911.072,2908.835,2909.97,0,5613,-1663,4125
1739266200,2909.96,2910.05,2903.648,2904.29,0,0,-11830,-10417
1739267100,2904.25,2907.09,2902.795,2903.21,0,5895,-1346,4293
1739268000,2903.005,2907.1,2901.715,2905.72,0,7694,-1717,7694
1739268900,2905.686,2906.5,2903.725,2905.41,0,0,-5179,-3849
1739269800,2905.35,2907.14,2901.905,2903.32,0,1388,-8146,-5256
1739270700,2903.266,2904.32,2901.815,2902.535,0,4263,-514,2738
1739271600,2902.63,2906.38,2902.065,2905.63,0,7912,-204,7912
1739272500,2905.6,2906.42,2904.145,2904.93,0,714,-5718,-5718
1739273400,2904.94,2905.61,2902.775,2903.846,0,3688,0,3290
1739274300,2903.846,2906.73,2903.625,2903.84,0,7191,0,2968
1739275200,2903.765,2904.3,2897.948,2900.31,0,0,-10661,-8270
1739276100,2900.26,2903.55,2898.645,2899.405,0,4686,-1139,-1139
1739277000,2899.57,2901.85,2897.628,2898.84,0,7559,0,3478
1739277900,2898.646,2899.96,2886.365,2889.231,0,941,-14036,-8966
1739278800,2889.231,2890.65,2883.655,2884.84,0,0,-12032,-9386
1739279700,2884.78,2890.42,2881.635,2889.74,0,12760,-3266,12760
1739280600,2889.606,2896.54,2887.745,2895.17,0,15465,-336,15255
1739281500,2895.126,2898.37,2891.455,2896.491,0,10745,-2016,10745
1739282400,2896.446,2902.33,2894.575,2898.4,0,6631,-4649,-2290
1739283300,2898.39,2900.96,2896.298,2900.675,0,8198,0,8198
1739284200,2900.695,2904.323,2898.798,2902.589,0,7843,-1567,2804
1739285100,2902.65,2903.5,2895.595,2896.686,0,0,-4893,-2699
1739286000,2896.248,2901.96,2890.675,2900.798,0,10203,-3738,7357
